,age,count
6335,17.0,3
810,17.0,3
6334,17.0,3
479,17.0,3
481,17.0,4
769,17.0,3
3976,17.0,3
2868,17.0,4
7464,17.0,3
731,17.0,3
2040,17.0,5
3981,17.0,3
2047,17.0,3
2048,17.0,3
2045,17.0,3
1307,17.0,3
1313,17.0,4
3960,17.0,3
405,17.0,5
6313,17.0,3
3961,17.0,3
734,17.0,5
1315,17.0,5
2038,17.2,5
2851,17.2,5
1314,17.25,4
3973,17.25,4
2847,17.25,4
8511,17.25,4
7465,17.25,4
2060,17.25,4
2050,17.25,4
3974,17.25,4
4031,17.333333333333332,3
4035,17.333333333333332,3
816,17.333333333333332,3
1403,17.333333333333332,3
4029,17.333333333333332,3
253,17.333333333333332,3
471,17.333333333333332,3
6127,17.333333333333332,3
735,17.333333333333332,3
396,17.333333333333332,3
3979,17.333333333333332,3
5133,17.333333333333332,3
7470,17.333333333333332,3
7471,17.333333333333332,3
215,17.333333333333332,3
5134,17.333333333333332,3
7476,17.333333333333332,3
1306,17.333333333333332,3
7477,17.333333333333332,3
6318,17.333333333333332,3
7479,17.333333333333332,3
1160,17.333333333333332,3
3975,17.333333333333332,3
2852,17.333333333333332,3
1329,17.333333333333332,3
5131,17.4,5
2064,17.4,5
3982,17.4,5
6316,17.4,5
6317,17.4,5
3978,17.5,4
7469,17.5,4
3980,17.5,4
3984,17.5,4
2850,17.5,4
7466,17.5,4
1312,17.5,4
7463,17.5,4
4007,17.6,5
2849,17.6,5
2857,17.6,5
7467,17.6,5
6315,17.6,5
2848,17.6,5
482,17.666666666666668,3
4033,17.666666666666668,3
478,17.666666666666668,3
1405,17.666666666666668,3
772,17.666666666666668,3
3820,17.666666666666668,3
1346,17.666666666666668,3
1308,17.666666666666668,3
6314,17.666666666666668,3
3997,17.666666666666668,3
3983,17.666666666666668,3
3995,17.666666666666668,3
7478,17.666666666666668,3
7462,17.666666666666668,3
2032,17.666666666666668,3
2855,17.666666666666668,3
7474,17.666666666666668,3
7319,17.666666666666668,3
8510,17.666666666666668,3
1310,17.666666666666668,3
7475,17.666666666666668,3
5132,17.75,4
2063,17.75,4
1347,17.75,4
2066,17.75,4
1323,17.75,4
2872,17.75,4
2853,17.75,4
744,17.75,4
3985,17.75,4
2059,17.75,4
2949,17.8,5
251,17.8,5
4947,17.8,5
2858,17.8,5
2153,18.0,3
1404,18.0,4
5220,18.0,3
6336,18.0,3
1309,18.0,3
10248,18.0,3
6312,18.0,4
7468,18.0,5
6128,18.0,3
2065,18.0,5
2076,18.0,4
3835,18.0,3
2049,18.0,3
6319,18.0,3
3759,18.0,3
3977,18.0,4
2075,18.0,4
9376,18.0,3
4085,18.2,5
472,18.2,5
6379,18.25,4
1406,18.25,4
6220,18.25,4
7352,18.25,4
3845,18.25,4
10254,18.25,4
8513,18.25,4
3817,18.25,4
2160,18.333333333333332,3
55,18.333333333333332,3
4086,18.333333333333332,3
480,18.333333333333332,3
7363,18.333333333333332,3
6133,18.333333333333332,3
3962,18.333333333333332,3
2067,18.333333333333332,3
6138,18.333333333333332,3
8406,18.333333333333332,3
4011,18.333333333333332,3
1108,18.333333333333332,3
2033,18.333333333333332,3
10257,18.333333333333332,3
4008,18.333333333333332,3
1330,18.333333333333332,3
7362,18.333333333333332,3
2062,18.4,5
745,18.4,5
2101,18.4,5
7489,18.5,4
775,18.5,4
10256,18.5,4
7382,18.5,4
4757,18.5,4
10251,18.5,4
9460,18.6,5
2731,18.6,5
1924,18.6,5
5225,18.666666666666668,3
4034,18.666666666666668,3
6380,18.666666666666668,3
7510,18.666666666666668,3
5224,18.666666666666668,3
252,18.666666666666668,3
2152,18.666666666666668,3
3760,18.666666666666668,3
1291,18.666666666666668,3
7381,18.666666666666668,3
3833,18.666666666666668,3
9379,18.666666666666668,3
99,18.666666666666668,3
8370,18.666666666666668,3
3987,18.666666666666668,3
5028,18.666666666666668,3
2886,18.666666666666668,3
7443,18.666666666666668,3
7379,18.666666666666668,3
3999,18.666666666666668,3
6135,18.666666666666668,3
10253,18.666666666666668,3
3778,18.666666666666668,3
1338,18.666666666666668,3
8404,18.714285714285715,7
6381,18.75,4
7326,18.75,4
7320,18.75,4
10252,18.75,4
2871,18.75,4
2715,18.75,4
7337,18.75,4
6206,18.75,4
5007,18.75,4
733,18.75,4
7380,18.75,4
10255,18.75,4
5021,18.8,5
4959,18.8,5
8358,18.8,5
6364,19.0,3
6367,19.0,3
8524,19.0,4
1367,19.0,5
4095,19.0,4
812,19.0,3
6378,19.0,4
9490,19.0,4
119,19.0,3
3986,19.0,3
6134,19.0,4
10258,19.0,4
8365,19.0,3
5924,19.0,3
9438,19.0,3
1915,19.0,3
5004,19.0,4
7057,19.0,3
7077,19.0,3
8357,19.0,5
6142,19.0,3
2860,19.0,3
7472,19.0,3
10272,19.0,3
4957,19.0,5
732,19.0,3
4953,19.0,4
7392,19.0,3
2908,19.0,3
8512,19.0,3
9020,19.0,3
6131,19.0,3
7325,19.0,5
6162,19.0,4
2870,19.0,4
10270,19.0,3
7401,19.0,3
5032,19.0,3
4037,19.2,5
6207,19.2,5
5908,19.2,5
6257,19.2,5
9492,19.25,4
9493,19.25,4
8523,19.25,4
7372,19.25,4
10283,19.25,4
6203,19.25,4
427,19.25,4
6198,19.25,4
6366,19.333333333333332,3
115,19.333333333333332,3
4088,19.333333333333332,3
8530,19.333333333333332,3
10247,19.333333333333332,3
